year,playerName,position,batting_order,school
2022,Elliott, Clark,RF,1,Michigan
2022,Stewart, Joe,CF,2,Michigan
2022,Frey, Matt,3B,3,Michigan
2022,Obertop, Jimmy,C,4,Michigan
2022,Burton, Ted,2B/1B,5,Michigan
2022,Flores, Tito,LF,6,Michigan
2022,Bertram, Riley,SS,7,Michigan
2022,Stanton, Dylan,1B,8,Michigan
2022,Rogers, Jordon,DH,9,Michigan
2022,O'Halloran, Connor,P,SP,Michigan
2022,Matthews, Brice,SS,1,Nebraska
2022,Chick, Cam,LF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,C,4,Nebraska
2022,Anglim, Garrett,RF,5,Nebraska
2022,Jessen, Luke,DH,6,Nebraska
2022,Steil, Jack,1B,7,Nebraska
2022,Jackson, Core,2B,8,Nebraska
2022,Sartori, Luke,CF,9,Nebraska
2022,Frank, Koty,P,SP,Nebraska
2022,Elliott, Clark,RF,1,Michigan
2022,Stewart, Joe,CF,2,Michigan
2022,Frey, Matt,3B,3,Michigan
2022,Obertop, Jimmy,C,4,Michigan
2022,Burton, Ted,1B,5,Michigan
2022,Flores, Tito,LF,6,Michigan
2022,Bertram, Riley,SS,7,Michigan
2022,Rogers, Jordon,DH,8,Michigan
2022,Fedje-Johnson, Alex,2B,9,Michigan
2022,Weston, Cameron,P,SP,Michigan
2022,Matthews, Brice,SS,1,Nebraska
2022,Chick, Cam,LF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,C,4,Nebraska
2022,Anglim, Garrett,RF,5,Nebraska
2022,Jessen, Luke,DH,6,Nebraska
2022,Steil, Jack,1B,7,Nebraska
2022,Jackson, Core,2B,8,Nebraska
2022,Sartori, Luke,CF,9,Nebraska
2022,Schanaman, Shay,P,SP,Nebraska
2022,Elliott, Clark,RF,1,Michigan
2022,Stewart, Joe,CF,2,Michigan
2022,Frey, Matt,3B,3,Michigan
2022,Obertop, Jimmy,C,4,Michigan
2022,Burton, Ted,1B,5,Michigan
2022,Flores, Tito,LF,6,Michigan
